group,count,TP,TN,FP,FN,TPR,FPR,FNR,SelectionRate
East/Southeast Asian | F | 5,13,1,10,1,1,0.5,0.09090909090909091,0.5,0.15384615384615385
Latino | F | 1,12,0,9,2,1,0.0,0.18181818181818182,1.0,0.16666666666666666
Latino | M | 0,12,0,9,0,3,0.0,0.0,1.0,0.0
Unknown or Legacy | F | 5,11,0,11,0,0,,0.0,,0.0
Middle-Eastern | F | 4,10,1,9,0,0,1.0,0.0,0.0,0.1
South Asian | M | 6,10,0,9,0,1,0.0,0.0,1.0,0.0
Indigenous | M | 5,8,2,5,1,0,1.0,0.16666666666666666,0.0,0.375
Unknown or Legacy | F | 0,8,0,6,1,1,0.0,0.14285714285714285,1.0,0.125
South Asian | F | 0,7,0,5,2,0,,0.2857142857142857,,0.2857142857142857
East/Southeast Asian | F | 6,7,0,6,1,0,,0.14285714285714285,,0.14285714285714285
Latino | M | 6,6,0,6,0,0,,0.0,,0.0
East/Southeast Asian | F | 0,6,0,5,1,0,,0.16666666666666666,,0.16666666666666666
Middle-Eastern | M | 6,6,0,5,1,0,,0.16666666666666666,,0.16666666666666666
Unknown or Legacy | F | 6,5,0,5,0,0,,0.0,,0.0
Black | F | 6,4,0,3,1,0,,0.25,,0.25
Middle-Eastern | F | 0,4,0,2,2,0,,0.5,,0.5
Indigenous | F | 5,4,0,4,0,0,,0.0,,0.0
Middle-Eastern | F | 5,4,0,4,0,0,,0.0,,0.0
Latino | F | 4,4,1,3,0,0,1.0,0.0,0.0,0.25
Latino | F | 0,3,0,3,0,0,,0.0,,0.0
Indigenous | M | 6,3,0,2,1,0,,0.3333333333333333,,0.3333333333333333
South Asian | F | 6,2,0,2,0,0,,0.0,,0.0
Indigenous | M | 0,2,0,2,0,0,,0.0,,0.0
Latino | F | 6,2,0,2,0,0,,0.0,,0.0
Indigenous | F | 0,1,0,1,0,0,,0.0,,0.0
South Asian | F | 5,1,0,1,0,0,,0.0,,0.0
Latino | F | 5,1,0,1,0,0,,0.0,,0.0
